ID,Tipo,SKU,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿En inventario?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Nombre de la descarga 1,URL de la descarga 1
41,simple,BZPNTMILNIN16,Conjunto Niño Pantalon - Buzo Milan,1,0,visible,Conjunto Niño Pantalon - Buzo Milan,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,16,1,0,,
42,simple,BZPNTCHENIN16,Conjunto Niño Pantalon - Buzo Chelsea,1,0,visible,Conjunto Niño Pantalon - Buzo Chelsea,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,16,1,0,,
43,simple,BZPNTLIVNIN16,Conjunto Niño Pantalon - Buzo Liverpool,1,0,visible,Conjunto Niño Pantalon - Buzo Liverpool,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,16,1,0,,
44,simple,CMPPNTRIVNIN4,Conjunto Niño Pantalon - Campera River Plate,1,0,visible,Conjunto Niño Pantalon - Campera River Plate,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,4,1,0,,
45,simple,CMPPNTRIVNIN6,Conjunto Niño Pantalon - Campera River Plate,1,0,visible,Conjunto Niño Pantalon - Campera River Plate,,,,taxable,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,Talla,6,1,0,,
46,simple,CMPPNTBOCNIN6,Conjunto Niño Pantalon - Campera Boca Juniors,1,0,visible,Conjunto Niño Pantalon - Campera Boca Juniors,,,,taxable,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,Talla,6,1,0,,
47,simple,CMPPNTAFANIN6,Conjunto Niño Pantalon - Campera AFA,1,0,visible,Conjunto Niño Pantalon - Campera AFA,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,6,1,0,,
48,simple,CMPPNTBOCNIN8,Conjunto Niño Pantalon - Campera Boca Juniors,1,0,visible,Conjunto Niño Pantalon - Campera Boca Juniors,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,8,1,0,,
49,simple,CMPPNTAFANIN8,Conjunto Niño Pantalon - Campera AFA,1,0,visible,Conjunto Niño Pantalon - Campera AFA,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,8,1,0,,
50,simple,CMPPNTRIVNIN10,Conjunto Niño Pantalon - Campera River Plate,1,0,visible,Conjunto Niño Pantalon - Campera River Plate,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,10,1,0,,
